State_name, county_name,CrimeRate,PopulationDensity(P/sqMi),Median_Age_ACS_14_18,Poverty%2018
Maine,Sagadahoc county,13,139.05,46.9,0.1
Iowa,Keokuk county,13,17.61,43.9,0.1
Virginia,KingWilliam county,12,60.22,41.4,0.1
Iowa,Ida county,12,16.03,44.5,0.1
Kansas,Nemaha county,12,14.08,39.9,0.1
SouthDakota,Turner county,12,13.39,43,0.1
Virginia,Clarke county,11,81.54,46.6,0.1
Missouri,DeKalb county,11,29.82,40.2,0.1
Minnesota,Chippewa county,11,20.67,41.6,0.1
Minnesota,Lincoln county,10,10.63,45.8,0.1
Kansas,Republic county,8,6.53,51.1,0.1
SouthDakota,Sanborn county,8,4.19,43.1,0.1
Nebraska,Kearney county,7,12.69,40.1,0.1
Montana,Madison county,7,2.29,52.6,0.1
Colorado,Washington county,7,1.92,41.6,0.1
Indiana,Huntington county,6,95.07,40.7,0.1
Missouri,Atchison county,6,9.63,48.3,0.1
Texas,Menard county,6,2.35,49.1,0.1
Iowa,Harrison county,5,20.3,44.1,0.1
Iowa,Sac county,5,17.16,46.2,0.1
Nebraska,Merrick county,5,16.09,43.6,0.1
Kansas,Rush county,5,4.32,47.6,0.1
Iowa,Audubon county,4,12.73,49,0.1
Wisconsin,Florence county,4,8.88,52.4,0.1
Kansas,Ottawa county,4,8.19,42.6,0.1
Nebraska,Valley county,4,7.44,45.5,0.1
Iowa,Taylor county,3,11.66,42.8,0.1
Iowa,Ringgold county,3,9.31,44.9,0.1
Colorado,Ouray county,3,8.72,53,0.1
Texas,Kent county,3,0.83,51.8,0.1
SouthDakota,McCook county,2,9.6,40,0.1
Minnesota,Roseau county,2,9.25,41.4,0.1
SouthDakota,Hutchinson county,2,9,43.8,0.1
SouthDakota,Deuel county,2,6.92,44.4,0.1
Minnesota,Grant county,1,10.83,45.2,0.1
Nebraska,Fillmore county,1,9.69,47.7,0.1
Minnesota,RedLake county,1,9.27,42.5,0.1
Minnesota,Norman county,1,7.51,44.2,0.1
Minnesota,Kittson county,1,3.95,47.3,0.1
Connecticut,Windham county,0,227.21,41.3,0.1
Indiana,Dearborn county,0,162.28,42.7,0.1
Indiana,Carroll county,0,53.71,42.8,0.1
Iowa,Jones county,0,35.73,43.4,0.1
Illinois,Edwards county,0,29.26,43.3,0.1
Indiana,Warren county,0,22.61,44.5,0.1
Nebraska,Howard county,0,11.25,43.1,0.1
Nebraska,Deuel county,0,4.31,47,0.1
Nebraska,Boyd county,0,3.78,52.3,0.1
Nebraska,Frontier county,0,2.68,45.5,0.1
Nebraska,Dundy county,0,2.2,42.3,0.1
Texas,Glasscock county,0,1.59,36,0.1
Texas,Motley county,0,1.17,38.3,0.1
Nebraska,Banner county,0,0.93,48.5,0.1
Nebraska,Arthur county,0,0.58,47.1,0.1
Montana,PowderRiver county,0,0.49,53,0.1
Washington,King county,7230,1022.55,37.1,0.09
Maryland,Baltimore county,4245,1383.29,39.3,0.09
Maryland,PrinceGeorge's county,3833,1877.37,36.8,0.09
California,ContraCosta county,3773,1582.88,39.4,0.09
Missouri,St.Louis county,3452,1966.64,40.3,0.09
Connecticut,Fairfield county,2219,1511.21,40.3,0.09
Michigan,Oakland county,2213,1441.62,40.9,0.09
NewYork,Westchester county,2149,2250.44,40.8,0.09
Colorado,Arapahoe county,2082,797.75,36.5,0.09
California,Ventura county,2042,460.15,37.9,0.09
Washington,Clark county,1011,739.87,38.2,0.09
Virginia,Chesapeakecity,993,697.83,36.7,0.09
Washington,Kitsap county,683,664.59,39,0.09
Pennsylvania,Northampton county,638,816.34,42.1,0.09
Texas,Brazoria county,629,260.73,35.6,0.09
NewYork,Dutchess county,599,369.39,42,0.09
Texas,Midland county,506,182.38,31.7,0.09
Iowa,Linn county,496,309.84,37.5,0.09
Tennessee,Sumner county,446,338.98,39.6,0.09
Maryland,Cecil county,436,296.06,40.4,0.09
Indiana,Johnson county,421,473,37.4,0.09
NorthCarolina,Union county,417,358.96,38,0.09
California,ElDorado county,399,109.29,45.8,0.09
Maine,Cumberland county,372,348.33,42.1,0.09
Pennsylvania,Washington county,362,242.18,44.5,0.09
NewHampshire,Strafford county,298,347.55,36.9,0.09
Texas,Guadalupe county,295,218.1,36.7,0.09
Minnesota,Olmsted county,251,234.28,37.2,0.09
Florida,SantaRosa county,244,168.49,39.7,0.09
Ohio,Fairfield county,234,303.15,39.3,0.09
Mississippi,DeSoto county,233,369.91,36.7,0.09
Texas,Ellis county,230,180.48,36.1,0.09
Ohio,Clermont county,224,449.49,39.8,0.09
Georgia,Paulding county,217,499.14,35.8,0.09
WestVirginia,Putnam county,204,163.89,41.8,0.09
Wisconsin,FondduLac county,195,142.19,41.5,0.09
California,Lassen county,183,6.87,36,0.09
California,SanBenito county,176,42.78,35.5,0.09
Maryland,Worcester county,172,110.11,50.1,0.09
NewYork,Ontario county,165,169.97,43.5,0.09
Wyoming,Natrona county,160,15.09,36.6,0.09
Wisconsin,Marathon county,156,87.55,40.6,0.09
NewHampshire,Belknap county,145,151.51,47.1,0.09
NewHampshire,Grafton county,140,52.56,42.9,0.09
Virginia,Manassascity,131,4195.63,33.7,0.09
Wisconsin,Jefferson county,121,152.12,40.7,0.09
NewHampshire,Cheshire county,114,107.92,42.7,0.09
NewYork,Madison county,109,108.97,41.7,0.09
Ohio,Miami county,107,257.76,41.6,0.09
Virginia,Albemarle county,106,147.57,38.8,0.09
Minnesota,Rice county,101,132.68,36.5,0.09
Michigan,Barry county,99,108.58,42.6,0.09
WestVirginia,Jefferson county,97,267.99,40.7,0.09
RhodeIsland,Washington county,95,383.44,44.5,0.09
Virginia,Augusta county,93,77.25,44.8,0.09
Iowa,Jasper county,93,50.51,42.3,0.09
Maryland,Talbot county,92,138.57,50.2,0.09
Virginia,Rockingham county,88,93.56,41.6,0.09
California,Amador county,87,63.62,50.5,0.09
NewHampshire,Carroll county,78,51.38,51.7,0.09
Georgia,Columbia county,74,507.76,36.6,0.09
Michigan,Clinton county,73,137.53,40.6,0.09
Nevada,Douglas county,73,67.39,51.5,0.09
Iowa,Washington county,72,38.93,40.8,0.09
Minnesota,Rock county,71,19.51,40.9,0.09
Iowa,Marion county,69,59.88,39.2,0.09
Maryland,Garrett county,66,45.4,45.6,0.09
Utah,BoxElder county,65,9.22,32.5,0.09
NewYork,Essex county,64,21.04,47,0.09
Georgia,Pickens county,63,132.86,45.1,0.09
Ohio,Shelby county,60,119.7,39.4,0.09
Michigan,Emmet county,58,70.67,45.3,0.09
Minnesota,OtterTail county,57,29.41,46.7,0.09
Wisconsin,Pierce county,56,72.51,36.8,0.09
Texas,Jones county,54,21.42,38.5,0.09
Illinois,Clinton county,51,79.37,40.2,0.09
Illinois,Grundy county,50,120.82,37.6,0.09
Wisconsin,Lincoln county,43,31.68,47.2,0.09
Ohio,Fulton county,41,104.34,40.8,0.09
Kansas,McPherson county,41,31.87,41.1,0.09
Iowa,Poweshiek county,37,31.81,40.7,0.09
Montana,Jefferson county,37,7.11,47.9,0.09
Minnesota,Nicollet county,34,75.33,36.3,0.09
Minnesota,McLeod county,33,72.89,40.6,0.09
Ohio,Madison county,32,94.42,40.7,0.09
Iowa,O'Brien county,31,24.28,42.4,0.09
Pennsylvania,Union county,30,142.77,39.4,0.09
Illinois,Jersey county,30,59.76,42.7,0.09
Ohio,Henry county,29,65.66,41.3,0.09
Indiana,Brown county,28,48.19,49.2,0.09
Iowa,Fremont county,27,13.63,45.8,0.09
Iowa,Plymouth county,26,29.02,39.9,0.09
Montana,Dawson county,26,3.88,40.5,0.09
Montana,Custer county,26,3.13,40.7,0.09
Ohio,Auglaize county,23,114.07,41.3,0.09
Georgia,Dawson county,23,113.18,43.4,0.09
Virginia,Southampton county,23,29.94,46.1,0.09
Michigan,Benzie county,22,54.9,49.6,0.09
Nevada,WhitePine county,22,1.1,39.2,0.09
Iowa,Cherokee county,21,19.88,46.8,0.09
Wyoming,Lincoln county,21,4.66,39.3,0.09
Ohio,Wyandot county,20,54.33,42.1,0.09
Massachusetts,Nantucket county,17,246.85,40.1,0.09
Virginia,Lancaster county,17,81.08,56.7,0.09
Minnesota,Waseca county,17,44.43,40.2,0.09
Texas,Yoakum county,16,10.72,31.2,0.09
Colorado,KitCarson county,16,3.53,38.5,0.09
Indiana,White county,15,47.94,41.9,0.09
Texas,Blanco county,15,15.9,49.9,0.09
Kansas,Grant county,15,13.25,32.6,0.09
Kansas,Marshall county,15,10.88,44,0.09
Minnesota,LeSueur county,14,62.36,41.2,0.09
NorthCarolina,Polk county,13,86.03,52.4,0.09
Iowa,Carroll county,13,35.73,41.7,0.09
Colorado,Chaffee county,12,18.91,49.1,0.09
Kansas,Marion county,12,12.74,44.7,0.09
Iowa,Clayton county,11,22.7,47.1,0.09
Nebraska,RedWillow county,11,15.07,41.1,0.09
Texas,Archer county,11,9.73,44.5,0.09
Montana,Valley county,11,1.53,44.4,0.09
Illinois,Menard county,10,39.33,42.9,0.09
Iowa,Buchanan county,10,37,38.7,0.09
Colorado,SanMiguel county,9,6.19,41.5,0.09
Idaho,Power county,9,5.49,37.7,0.09
Iowa,Mitchell county,8,22.66,43.8,0.09
Iowa,Adair county,8,12.51,45.4,0.09
Kansas,Phillips county,8,6.1,44.6,0.09
Nebraska,Kimball county,8,3.85,45.6,0.09
Wisconsin,Buffalo county,7,19.6,46,0.09
Iowa,Worth county,7,18.72,44,0.09
Iowa,Greene county,7,15.81,44.5,0.09
Minnesota,Wilkin county,7,8.45,44.4,0.09
Iowa,Allamakee county,6,21.72,44.8,0.09
Kansas,Morris county,6,8.01,47.7,0.09
Kansas,Rawlins county,6,2.35,49.2,0.09
Colorado,Lincoln county,6,2.15,37.9,0.09
Montana,Fallon county,6,1.75,39.3,0.09
Indiana,Wells county,5,75.92,39.8,0.09
Kansas,Ellsworth county,5,8.79,42.3,0.09
Nebraska,Stanton county,4,14,41.2,0.09
Nebraska,Cedar county,4,11.51,43.6,0.09
Kansas,Cheyenne county,4,2.62,45.7,0.09
Virginia,Rappahannock county,3,27.54,50.1,0.09
Nebraska,York county,3,24.1,40.2,0.09
Illinois,Hamilton county,3,18.91,44.1,0.09
Virginia,Craig county,3,15.52,48.3,0.09
Kansas,Graham county,3,2.83,51.9,0.09
Texas,Oldham county,3,1.39,29.8,0.09
Iowa,Butler county,2,25.4,44.1,0.09
SouthDakota,Spink county,2,4.35,43.3,0.09
Minnesota,LakeoftheWoods county,2,2.93,51.3,0.09
Nebraska,Wheeler county,2,1.43,49.8,0.09
Illinois,Putnam county,1,35.88,47.9,0.09
SouthDakota,BonHomme county,1,12.36,42.8,0.09
Kansas,Lincoln county,1,4.31,46.4,0.09
SouthDakota,Miner county,1,3.91,44.1,0.09
SouthDakota,Hand county,1,2.3,47.3,0.09
Indiana,Whitley county,0,100.27,40.8,0.09
Indiana,Jasper county,0,59.77,39.9,0.09
Indiana,Spencer county,0,51.74,43.6,0.09
Indiana,Union county,0,44.37,43.8,0.09
Illinois,Moultrie county,0,43.77,40.3,0.09
Wisconsin,Oconto county,0,37.63,46.5,0.09
Iowa,Benton county,0,35.78,42.6,0.09
Iowa,Shelby county,0,19.79,46.1,0.09
Hawaii,Kalawao county,0,6.25,57.1,0.09
SouthDakota,Kingsbury county,0,5.97,45.6,0.09
Nebraska,Greeley county,0,4.23,45.7,0.09
Nebraska,Garden county,0,1.09,50.3,0.09
Texas,King county,0,0.25,46.5,0.09
California,SantaClara county,5050,1489.96,37,0.08
Massachusetts,Middlesex county,2923,1950.54,38.5,0.08
Hawaii,Honolulu county,2366,1644.04,37.6,0.08
Texas,FortBend county,1738,858.22,36,0.08
Washington,Snohomish county,1577,376.86,37.8,0.08
Texas,Denton county,1321,918.73,35.2,0.08
NewJersey,Middlesex county,1246,2676.2,38.4,0.08
NewHampshire,Hillsborough county,1088,469.2,40.5,0.08
Illinois,Lake county,1057,1585.91,38.2,0.08
Texas,Randall county,713,145.33,35.6,0.08
Michigan,Ottawa county,677,504.08,35,0.08
Oregon,Clackamas county,621,216.96,41.4,0.08
California,Placer county,609,270.13,41.9,0.08
California,Napa county,566,187.78,41.1,0.08
Florida,St.Johns county,509,392.07,43.4,0.08
Alabama,Shelby county,419,269.15,38.9,0.08
Arkansas,Saline county,415,163.09,39.2,0.08
Tennessee,Wilson county,388,232.41,40.2,0.08
Ohio,Lake county,361,1011.23,43.7,0.08
Texas,Comal county,350,241.47,42,0.08
Kansas,Leavenworth county,330,172.94,37.6,0.08
Illinois,Tazewell county,309,206.25,40.9,0.08
Maine,York county,304,205.01,44.9,0.08
Wisconsin,Outagamie county,280,289.8,37.9,0.08
Florida,Sumter county,250,221.23,67,0.08
Maryland,St.Mary's county,247,312.25,36.5,0.08
Virginia,Spotsylvania county,224,327.31,38.1,0.08
Georgia,Cherokee county,218,573.7,38.3,0.08
Pennsylvania,Butler county,187,236.58,43.2,0.08
RhodeIsland,Kent county,185,972.3,43.8,0.08
Hawaii,Kauai county,169,115.13,42.4,0.08
Texas,Parker county,163,143.67,39.7,0.08
Pennsylvania,Adams county,136,196.7,43.6,0.08
RhodeIsland,Newport county,135,811.4,45,0.08
Colorado,Garfield county,110,19.86,36.3,0.08
Colorado,LaPlata county,96,32.56,39.9,0.08
Iowa,Bremer county,94,56.91,39.7,0.08
Virginia,JamesCity county,89,520.59,46.4,0.08
NorthCarolina,Dare county,88,93.22,46.1,0.08
Washington,Island county,85,391.64,44.2,0.08
Pennsylvania,Perry county,84,83.28,43,0.08
Virginia,Culpeper county,79,133.03,38.8,0.08
Wisconsin,Dodge county,79,100.24,42.5,0.08
Wisconsin,Columbia county,77,74.4,42.4,0.08
NewJersey,Warren county,76,297.81,44,0.08
Mississippi,Rankin county,74,195.03,37.4,0.08
Iowa,Boone county,74,46.19,41.8,0.08
Vermont,Franklin county,68,77.36,40,0.08
Georgia,Effingham county,67,122.86,36.1,0.08
WestVirginia,Morgan county,67,76.94,47.6,0.08
Kansas,Miami county,67,57.55,41.9,0.08
Missouri,Perry county,61,40.36,40.6,0.08
Wisconsin,Oneida county,61,31.76,50.9,0.08
Colorado,Teller county,57,43.29,49.9,0.08
Illinois,Washington county,46,25.16,43.4,0.08
Minnesota,Douglas county,45,58.38,44.1,0.08
Virginia,Caroline county,43,57.22,40,0.08
Iowa,Mills county,43,34.19,42.1,0.08
Wyoming,Converse county,43,3.29,40.1,0.08
Virginia,Gloucester county,42,170.62,44.7,0.08
Virginia,PrinceGeorge county,42,142.91,37,0.08
Virginia,Orange county,39,104.5,42.1,0.08
Kansas,Jefferson county,37,35.47,44.2,0.08
Nevada,Storey county,36,14.99,52.9,0.08
Virginia,Botetourt county,35,61.39,47,0.08
Nebraska,Platte county,34,49.05,38.5,0.08
Missouri,Andrew county,32,40.22,42.4,0.08
Wisconsin,Green county,31,63.13,42.9,0.08
Wisconsin,Iowa county,30,30.97,42.5,0.08
Illinois,JoDaviess county,29,36.32,49.7,0.08
Virginia,Salemcity,27,1767.73,41.3,0.08
Texas,Franklin county,27,37.55,43,0.08
Iowa,Delaware county,26,29.87,43.6,0.08
Utah,Grand county,26,2.62,40.7,0.08
Virginia,Middlesex county,23,82.11,53.4,0.08
Iowa,Dickinson county,23,44.81,48.4,0.08
Virginia,Fairfaxcity,21,3825.13,38.1,0.08
Wisconsin,Kewaunee county,20,59.44,44.2,0.08
Indiana,Tipton county,20,58.41,44.9,0.08
Wisconsin,Trempealeau county,18,40.16,40.5,0.08
Iowa,Hardin county,17,30.08,44.7,0.08
Iowa,Iowa county,17,27.64,42.1,0.08
Nebraska,Washington county,15,51.85,41.4,0.08
Idaho,Jefferson county,14,25.58,31.2,0.08
Kansas,Clay county,14,12.62,43,0.08
Nebraska,Saunders county,13,28.02,40.8,0.08
Iowa,Hancock county,13,19.07,44.5,0.08
Kansas,Kingman county,13,8.65,45.5,0.08
California,Sierra county,13,3.07,55.5,0.08
Wisconsin,Door county,12,56.93,52.4,0.08
Virginia,Madison county,12,40.97,44.8,0.08
Iowa,Winnebago county,12,26.4,42.6,0.08
Minnesota,Houston county,10,33.81,45.2,0.08
SouthDakota,Marshall county,10,5.84,39.7,0.08
Iowa,Winneshiek county,9,29.57,41.3,0.08
Nebraska,Phelps county,9,16.9,42.6,0.08
Minnesota,Lake county,9,5.01,50.4,0.08
Kentucky,Spencer county,8,97.74,41.6,0.08
Indiana,Franklin county,8,59.42,42,0.08
Nebraska,Holt county,8,4.25,43.2,0.08
Tennessee,Moore county,7,48.92,45.3,0.08
Wyoming,Sublette county,7,2.04,39.4,0.08
Nevada,Eureka county,7,0.44,47.3,0.08
Nebraska,Thayer county,6,8.88,47,0.08
Texas,Sutton county,6,2.66,38.4,0.08
Washington,Wahkiakum county,5,15.91,54.3,0.08
Nebraska,Chase county,5,4.17,45.6,0.08
Montana,Granite county,5,1.89,54.3,0.08
Kansas,Rooks county,4,5.75,43.8,0.08
Kansas,Edwards county,4,4.7,44.7,0.08
Idaho,Caribou county,4,3.92,36.9,0.08
Montana,SweetGrass county,4,1.97,51.5,0.08
Vermont,GrandIsle county,3,85.14,47.8,0.08
Minnesota,Jackson county,3,14.29,44.3,0.08
Minnesota,LacquiParle county,3,8.85,50.4,0.08
Nebraska,Morrill county,3,3.4,42.5,0.08
Utah,Beaver county,3,2.49,33.4,0.08
Kansas,Greeley county,2,1.54,36.5,0.08
Nebraska,Polk county,1,11.99,45.2,0.08
Kansas,Kiowa county,1,3.5,40.3,0.08
Montana,McCone county,1,0.62,50.1,0.08
SouthDakota,Harding county,1,0.49,42.7,0.08
Missouri,Clay county,0,601.98,37.1,0.08
Massachusetts,Dukes county,0,167.69,46.1,0.08
Illinois,Henderson county,0,18.17,49.7,0.08
SouthDakota,Grant county,0,10.59,43.5,0.08
SouthDakota,Jerauld county,0,3.86,50.6,0.08
Nebraska,Logan county,0,1.55,38.9,0.08
Utah,Wayne county,0,1.09,41,0.08
Nebraska,Loup county,0,1.03,56.9,0.08
Montana,Petroleum county,0,0.26,52.1,0.08
NewYork,Suffolk county,1857,1631.36,41.3,0.07
Maryland,Montgomery county,1800,2117.23,39,0.07
Massachusetts,Plymouth county,1743,777.05,42.6,0.07
California,SanMateo county,1598,1708.1,39.6,0.07
Colorado,Jefferson county,1434,746.43,40.4,0.07
Texas,Collin county,1424,1122.58,36.6,0.07
Illinois,Will county,1104,822.91,37.6,0.07
NewJersey,Monmouth county,939,1329.76,43.2,0.07
Massachusetts,Barnstable county,856,542.74,52.9,0.07
Virginia,PrinceWilliam county,841,1357.73,34.9,0.07
Texas,Williamson county,834,471.3,36.1,0.07
Illinois,DuPage county,827,2844.97,39.1,0.07
NewJersey,Bergen county,789,3991.55,41.8,0.07
Pennsylvania,Chester county,696,689.08,40.4,0.07
Virginia,VirginiaBeachcity,689,1807.68,35.9,0.07
Maryland,Frederick county,611,376.35,39.2,0.07
Maryland,Harford county,585,574.31,40.8,0.07
California,Marin county,465,500.28,46.5,0.07
Virginia,Chesterfield county,455,801.92,38.8,0.07
Virginia,Arlington county,345,8927.52,34.5,0.07
NewJersey,Gloucester county,336,903.25,40.3,0.07
Illinois,McHenry county,288,510.28,40.2,0.07
Pennsylvania,Cumberland county,212,453.62,40.5,0.07
NewHampshire,Merrimack county,208,159.99,42.8,0.07
Wisconsin,Sheboygan county,183,225.33,41.3,0.07
Utah,Tooele county,178,9.39,31.3,0.07
Virginia,Roanoke county,174,373.56,43.6,0.07
Kentucky,Boone county,169,524.01,37.3,0.07
Iowa,Warren county,163,86.62,38.3,0.07
Indiana,Warrick county,138,160.93,40.9,0.07
Connecticut,Litchfield county,122,198.83,47.2,0.07
Connecticut,Middlesex county,117,442.37,45.4,0.07
Minnesota,Sherburne county,95,215.36,35.8,0.07
Indiana,Hancock county,86,241.26,39.9,0.07
Colorado,Eagle county,77,32.27,36.5,0.07
Indiana,Noble county,74,115.5,38.7,0.07
Missouri,Platte county,67,235.19,38.3,0.07
Illinois,Logan county,65,47.26,40.4,0.07
Wyoming,Park county,57,4.19,44.4,0.07
Minnesota,Isanti county,42,89.43,39.8,0.07
Georgia,Harris county,41,72.41,43.1,0.07
Indiana,LaGrange county,40,102.58,31.4,0.07
RhodeIsland,Bristol county,35,2023.67,44.2,0.07
SouthDakota,Meade county,34,7.9,36.2,0.07
Ohio,Mercer county,29,88.24,39.9,0.07
Vermont,Addison county,29,48.2,43.7,0.07
Utah,Wasatch county,27,25.97,33.4,0.07
Illinois,Woodford county,25,73.55,40,0.07
Minnesota,Meeker county,25,37.95,42.5,0.07
Montana,Broadwater county,25,4.89,46.9,0.07
Ohio,Putnam county,23,70.4,40,0.07
Iowa,Chickasaw county,21,23.99,44.3,0.07
Minnesota,Brown county,19,41.26,42.1,0.07
SouthDakota,Union county,19,32.95,40.6,0.07
Kansas,Pawnee county,19,8.89,45.7,0.07
Iowa,Madison county,18,28.32,40.1,0.07
Texas,Mitchell county,16,9.39,34.1,0.07
Kansas,Morton county,13,3.89,43.1,0.07
Colorado,Pitkin county,11,18.45,42,0.07
Nebraska,Seward county,9,29.97,37.9,0.07
Wyoming,Crook county,9,2.6,42.6,0.07
Minnesota,Sibley county,8,25.33,41.6,0.07
Missouri,Osage county,8,22.54,40.3,0.07
Minnesota,Pope county,8,16.4,45.9,0.07
Illinois,Brown county,7,21.84,39,0.07
Colorado,Phillips county,7,6.28,39,0.07
Nebraska,Johnson county,6,13.82,40.6,0.07
Texas,Crane county,6,6.16,32.4,0.07
Kansas,Trego county,6,3.21,49.2,0.07
Virginia,Bland county,5,18.02,46.1,0.07
Nebraska,Butler county,5,13.79,43.9,0.07
Minnesota,Murray county,5,11.85,48.1,0.07
Kansas,Ness county,5,2.75,48.7,0.07
Nebraska,Pierce county,4,12.48,41.5,0.07
NewYork,Hamilton county,4,2.66,54,0.07
Kansas,Logan county,4,2.62,40,0.07
Texas,Kenedy county,4,0.41,39.5,0.07
SouthDakota,Douglas county,3,6.79,47.3,0.07
Minnesota,Marshall county,3,5.29,43.8,0.07
Texas,Armstrong county,3,2.11,46.3,0.07
Texas,Edwards county,3,0.97,49.3,0.07
Nebraska,Cuming county,2,15.76,43.6,0.07
SouthDakota,Hanson county,1,7.82,36.3,0.07
SouthDakota,Aurora county,1,3.89,38.3,0.07
Nebraska,Garfield county,1,3.47,51.4,0.07
Nevada,Esmeralda county,1,0.27,48.3,0.07
Wyoming,Teton county,0,5.77,39.3,0.07
SouthDakota,Potter county,0,2.7,51.3,0.07
Texas,Foard county,0,2,49.3,0.07
Nebraska,Rock county,0,1.34,50.9,0.07
Maryland,AnneArundel county,2551,1368.28,38.4,0.06
NewYork,Nassau county,1949,4764.72,41.6,0.06
Massachusetts,Norfolk county,1260,1762.78,40.9,0.06
Pennsylvania,Montgomery county,1108,1700.29,41.3,0.06
Virginia,Fairfax county,1095,2924.86,37.9,0.06
Kansas,Johnson county,887,1236.87,37.5,0.06
NewJersey,Burlington county,733,558.95,41.5,0.06
Pennsylvania,Bucks county,603,1036.5,43.8,0.06
Minnesota,Dakota county,585,743.91,37.8,0.06
Maryland,Charles county,557,344.44,38.3,0.06
Minnesota,Anoka county,438,821.34,38.4,0.06
Utah,Davis county,346,1140.03,30.8,0.06
NewYork,Saratoga county,232,280.72,42.6,0.06
Michigan,Livingston county,218,333.45,43.2,0.06
Iowa,Dallas county,154,142.75,35.3,0.06
Minnesota,Scott county,141,402.19,36.1,0.06
Georgia,Forsyth county,117,981.51,38.3,0.06
Ohio,Medina county,101,420.68,41.9,0.06
Virginia,Frederick county,93,205.93,40.6,0.06
Texas,Rockwall county,88,737.14,37.6,0.06
Georgia,Fayette county,81,573.05,43.5,0.06
Wisconsin,Calumet county,61,156.51,40.1,0.06
Utah,Summit county,55,21.64,39,0.06
Wyoming,Sheridan county,45,11.89,42.1,0.06
Virginia,Fauquier county,44,106.75,41.4,0.06
Georgia,Oconee county,41,200.86,40.4,0.06
Pennsylvania,Forest county,35,17.21,40.4,0.06
Ohio,Geauga county,34,234.8,44.6,0.06
Nebraska,Cass county,32,46.11,41.6,0.06
Ohio,Union county,29,128.91,38.4,0.06
Virginia,KingGeorge county,27,144.12,37.3,0.06
Iowa,PaloAlto county,27,16.06,41.8,0.06
Kansas,Russell county,26,7.87,49.1,0.06
Illinois,Piatt county,25,37.4,43,0.06
Virginia,Greene county,23,124.23,40.1,0.06
Texas,Carson county,23,6.55,40.3,0.06
Montana,Stillwater county,20,5.24,46.6,0.06
Minnesota,Wabasha county,18,41.11,45.2,0.06
Iowa,Cedar county,18,31.83,42,0.06
Michigan,Leelanau county,17,62.33,53.7,0.06
Iowa,Sioux county,15,45.33,33.2,0.06
Iowa,Grundy county,12,24.59,42.5,0.06
Kansas,Wabaunsee county,10,8.67,43.8,0.06
Kansas,Gray county,10,6.95,36.2,0.06
Idaho,Teton county,9,24.65,36.6,0.06
Texas,JeffDavis county,5,0.99,54.8,0.06
SouthDakota,Hamlin county,3,11.83,35.2,0.06
Nevada,Lincoln county,2,0.49,45.2,0.06
Connecticut,Tolland county,0,368.76,37.5,0.06
Indiana,Ohio county,0,68.34,47.5,0.06
Nebraska,Boone county,0,7.74,44.6,0.06
Kansas,Comanche county,0,2.26,47.5,0.06
Nebraska,KeyaPaha county,0,1.02,45.4,0.06
Maryland,Howard county,672,1257.58,38.7,0.05
Missouri,St.Charles county,485,695.87,38.2,0.05
NewHampshire,Rockingham county,346,439.21,44.3,0.05
NewJersey,Morris county,318,1074.33,42.6,0.05
Maryland,Carroll county,314,374.27,42.4,0.05
Indiana,Hendricks county,279,395.52,37.7,0.05
Wisconsin,Waukesha county,257,725.8,43.2,0.05
Minnesota,Washington county,237,659.2,39.3,0.05
NewJersey,Somerset county,214,1093.96,41.6,0.05
Nebraska,Sarpy county,149,746.26,34.4,0.05
Maryland,Calvert county,137,427.32,40.8,0.05
Virginia,Hanover county,131,222.93,42.9,0.05
Illinois,Kendall county,128,389.05,34.9,0.05
Maryland,QueenAnne's county,114,132.71,44.3,0.05
Virginia,York county,109,645.02,39.5,0.05
Wisconsin,Washington county,86,312.36,42.9,0.05
NewJersey,Sussex county,78,274.17,44.5,0.05
Indiana,Hamilton county,71,801.72,36.9,0.05
Indiana,Boone county,63,152.09,38,0.05
Kentucky,Oldham county,53,349.18,39,0.05
NewJersey,Hunterdon county,53,292.3,46.2,0.05
Wisconsin,Ozaukee county,52,378.78,43.9,0.05
Colorado,ClearCreek county,51,23.73,47.8,0.05
NewYork,Putnam county,47,430.16,44.1,0.05
Texas,Kendall county,44,63.37,42.1,0.05
Minnesota,Chisago county,37,131.92,41,0.05
Montana,Richland county,34,5.45,38.9,0.05
Colorado,Broomfield county,33,2001.63,37.7,0.05
NewMexico,LosAlamos county,32,168.14,42.5,0.05
Virginia,NewKent county,30,100.62,43.7,0.05
Virginia,Fluvanna county,26,91.89,43.3,0.05
Virginia,Goochland county,26,79.89,48.3,0.05
Texas,Hartley county,23,3.94,39.1,0.05
Virginia,Powhatan county,21,109.81,45.1,0.05
Minnesota,Dodge county,21,46.85,38.3,0.05
Nebraska,Hamilton county,19,16.91,41.5,0.05
Colorado,Park county,18,7.93,50.6,0.05
Iowa,Lyon county,14,20.03,38.1,0.05
Illinois,Monroe county,11,88.14,42.6,0.05
SouthDakota,Stanley county,4,2.07,41.2,0.05
Kansas,Sheridan county,3,2.8,44.3,0.05
Nebraska,Gosper county,2,4.4,50.4,0.05
Texas,Concho county,1,4.3,41.9,0.05
SouthDakota,Edmunds county,1,3.5,43.1,0.05
Nebraska,Perkins county,1,3.29,42.7,0.05
Colorado,SanJuan county,1,1.4,52.1,0.05
Montana,Garfield county,1,0.24,43.2,0.05
Virginia,Loudoun county,375,747.03,36,0.04
Tennessee,Williamson county,294,375.3,39.2,0.04
Virginia,Stafford county,278,535.45,35.3,0.04
